,institution_name,univ_address,city,state,zipcode,chief_name,chief_title,website_url,admin_url,financial_url,app_url,county,longitude,latitude,
,Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,Donald E Lewis,President,http://www.herzing.edu/birmingham,http://www.herzing.edu/birmingham,http://www.herzing.edu/birmingham,http://www.herzing.edu/birmingham,Jefferson County,-86.832344,33.468136,
,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,J. Cameron West,President,http://www.huntingdon.edu,http://www.huntingdon.edu/futureStudentsMain.aspx?id=1582,http://www.huntingdon.edu/futureStudents.aspx?id=1702,http://www.huntingdon.edu/futureStudentForm.aspx?ekfrm=4062,Montgomery County,-86.285285,32.352002,
,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,Dennis Jones,President,http://www.hcu.edu,http://www.hcu.edu/admissions,http://www.hcu.edu/financialaid,http://www.hcu.edu/admissions/applynow,Lauderdale County,-87.660709,34.860679,
,J F Drake State Technical College,3421 Meridian St N,Huntsville,AL,35811,Helen T. McAlpine,President,http://www.drakestate.edu,http://www.drakestate.edu,http://www.drakestate.edu,http://www.drakestate.edu,Madison County,-86.572561,34.771174,
,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,J. Douglas Chambers,President,http://www.ingram.cc.al.us,,,,Elmore County,-86.381859,32.576179,
,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,William Meehan,President,http://www.jsu.edu/,,,,Calhoun County,-85.763653,33.824096,
,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,Dr. Susan McBride,President,http://www.jdcc.edu,http://www.jdcc.edu/admissions/,http://www.jdcc.edu/finaid/,http://www.jdcc.edu/applyonline/,Escambia County,-87.08423,31.10199,
,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,Judy Merritt,President,http://www.jeffstateonline.com,,,,Jefferson County,-86.709463,33.651085,
,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,Dr. Marilyn C. Beck,President,http://www.calhoun.edu,http://www.calhoun.edu/admissions.htm,http://www.calhoun.edu/financialaid/,http://www.calhoun.edu/applyonline/,Limestone County,-86.94908,34.64771,
,Judson College,302 Bibb St,Marion,AL,36756,David E Potts,President,http://www.judson.edu,http://www.judson.edu,http://www.judson.edu,http://www.judson.edu,Perry County,-87.316603,32.629662,
,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,Perry W Ward,President,http://www.lawsonstate.edu,,,,Jefferson County,-86.888372,33.449443,
,University of West Alabama,Station One,Livingston,AL,35470,Dr. Richard Holland,President,http://www.uwa.edu,http://admissions.uwa.edu/,http://admissions.uwa.edu/FinancialAid.asp,,Sumter County,-88.18725,32.5843,
,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,"Herbert H. J. Riedel, Ph.D.",President,http://www.lbwcc.edu,http://www.lbwcc.edu/cms/page.aspx?pageid=196,http://www.lbwcc.edu/cms/page.aspx?pageid=197,,Covington County,-86.451742,31.321861,
,Marion Military Institute,1101 Washington St,Marion,AL,36756,Col David J. Mollahan,President,http://www.marionmilitary.edu,http://marionmilitary.edu/admissions/index.da,http://marionmilitary.edu/admissions/admissions-financial.da,http://marionmilitary.edu/admissions/admissions-apply.da,Perry County,-87.318077,32.622556,
,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,"George T. French, Jr.",President,http://www.miles.edu,http://miles.edu,http://miles.edu,http://miles.edu,Jefferson County,-86.90718,33.48072,
,University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,Mark Foley,President,http://www.umobile.edu,http://www.umobile.edu/admissions/,http://www.umobile.edu/financialaid/,http://www.umobile.edu/Admissions/Undergraduate/ApplyNow.aspx,Mobile County,-88.128739,30.793454,
,University of Montevallo,Station 6001,Montevallo,AL,35115-6000,John W. Stewart III,President,http://www.montevallo.edu,http://www.montevallo.edu/admissions/,http://www.montevallo.edu/finaid/,http://www.montevallo.edu/admissions/ApplicationProcess/,Shelby County,-86.86473,33.10442,
,Northwest Shoals Community College-Muscle Shoals,800 George Wallace Blvd,Muscle Shoals,AL,35661,Humphrey Lee,President,http://www.nwscc.edu,http://www.nwscc.edu/contactus.html,http://www.nwscc.edu/financialaid/financialaid.html,http://www.nwscc.edu/contactus.html,Colbert County,-87.678939,34.730351,
,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,"Wm. G. Cale, Jr.",President,http://www.una.edu,http://www.una.edu/admission,http://www.una.edu/sfins,https://www.applyweb.com/aw?una,Lauderdale County,-87.67976,34.8072,
,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,J. David Campbell,President,http://www.nacc.edu,http://www.nacc.edu,http://www.nacc.edu,http://www.nacc.edu,DeKalb County,-85.849296,34.495048,
,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,Mervyn A. Warren,Interim President,http://www.oakwood.edu,http://www.oakwood.edu/admissions,http://www.oakwood.edu/services/financial-aid,https://my.oakwood.edu/ics/Admissions/Admissions_Homepage.jnz?portlet=Apply_For_Admissions,Madison County,-86.661596,34.756663,
,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,Reginald Sykes,President,http://www.ascc.edu,,,,Monroe County,-87.323941,31.48897,
,Prince Institute of Professional Studies Inc,7735 Atlanta Hwy,Montgomery,AL,36117,Patricia L. Hill,Director,http://princeinstitute.edu,,,,Montgomery County,-86.161564,32.38201,
,Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401,Dr Douglas M Littles,President,http://www.rstc.cc.al.us,http://www.rstc.edu,http://www.rstc.edu,http://www.rstc.edu,Conecuh County,-86.965527,31.45764,
,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,James Lowe,President,http://www.bishop.edu,http://www.bishop.edu/admissions.html,http://www.bishop.edu/finaid.html,http://www.bishop.edu/admissions.html,Mobile County,-88.056355,30.694054,
,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,Andrew Westmoreland,President,http://www.samford.edu,http://www.samford.edu/admission/,http://www.samford.edu/admin/finaid/,http://www.samford.edu/admission/apply.html,Jefferson County,-86.790142,33.463236,
,Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,"Dr. Alvin A. Cleveland, Sr.",President,http://selmauniversity.org,,,,Dallas County,-87.031607,32.419785,
,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,Dr. Mark A. Heinrich,President,http://www.sheltonstate.edu,http://www.sheltonstate.edu/content.aspx?PageID=75,http://www.sheltonstate.edu/content.aspx?PageID=99,http://ais.sheltonstate.edu/HESTUPORTAL/apecs_hestuportal_application_link.aspx?instid=SS00,Tuscaloosa County,-87.557337,33.119706,
,Snead State Community College,220 North Walnut Street,Boaz,AL,35957-0734,Dr. Robert J. Exley,President,http://www.snead.edu,,,,Marshall County,-86.168184,34.200609,
,University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,V. Gordon Moulton,President,http://www.southalabama.edu,http://www.southalabama.edu/admissions/,http://www.southalabama.edu/finaid/,http://www.southalabama.edu/admissions/appdeadline.html,Mobile County,-88.174087,30.696578,
,Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,"Rev. Richard P. Salmi, S.J.",President,http://www.shc.edu,http://www.shc.edu/admissions-and-financial-aid/,http://www.shc.edu/admissions-and-financial-aid/,http://www.shc.edu/admissions-and-financial-aid/apply,Mobile County,-88.148412,30.685751,
,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35224-2083,Dr. Don Hawkins,President,http://www.sebc.edu,,,,Shelby County,-86.764053,33.364978,
,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403,"Ernest McNealey, Ph.D.",President,http://www.stillman.edu,,,,Tuscaloosa County,-87.582864,33.200716,
,Talladega College,627 W Battle St,Talladega,AL,35160,Dr. Billy C. Hawkins,President,http://www.talladega.edu,,,http://www.talladega.edu,Talladega County,-86.112036,33.433069,
,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,36108-3199,Mr. Samuel Munnerlyn,President,http://www.trenholmstate.edu,http://www.trenholmstate.edu,http://www.trenholmstate.edu,http://www.trenholmstate.edu,Montgomery County,-86.344604,32.34991,
,Troy University,University Avenue,Troy,AL,36082-0001,"Dr. Jack Hawkins, Jr.",Chancellor,http://www.troy.edu,http://www.troy.edu/admissions,http://www.troy.edu/financialaid/,http://www.troy.edu/application,Pike County,-85.95035,31.7969,
,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,Gilbert L. Rochon,President,http://www.tuskegee.edu,http://www.tuskegee.edu/admissions.aspx,http://www.tuskegee.edu/academics/academic_services/financial_aid.aspx,,Macon County,-85.71794,32.41666,
,United States Sports Academy,One Academy Dr,Daphne,AL,36526-7055,Dr. Thomas P. Rosandich,President/CEO,http://www.ussa.edu,http://ussa.edu/,https://records.ussa.edu/empower/fusebox.cfm?fuseaction=WEBFAQ01,https://records.ussa.edu/,Baldwin County,-87.91202,30.64004,
,Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,Anne Mcnutt,President,http://www.bscc.edu,http://www.bscc.edu/display_document.php?ID=742,http://www.bscc.edu/financialaid.php,http://www.bscc.edu/display_document.php?ID=742,Walker County,-87.265034,33.835785,
,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,Fran Ulmer,Chancellor,http://www.uaa.alaska.edu,http://www.uaa.alaska.edu/admissions/,http://www.uaa.alaska.edu/financialaid/,http://uaonline.alaska.edu/,Anchorage Municipality,-149.826779,61.18824,
,Alaska Bible College,College Rd,Glennallen,AK,99588,Nicholas Ringger,President,http://www.akbible.edu/,http://www.akbible.edu/apply-start.html,http://www.akbible.edu/financial-aid.html,,Valdez-Cordova Census Area,-145.52624,62.11296,
,University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500,Brian Rogers,Chancellor,http://www.uaf.edu,http://www.uaf.edu/admissions/,http://www.uaf.edu/finaid/,http://www.uaf.edu/admissions/apply/index.xml,Fairbanks North Star Borough,-147.82475,64.857053,
,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,John Pugh,Chancellor,http://www.uas.alaska.edu,http://uas.alaska.edu/admissions,http://uas.alaska.edu/financial_aid/,http://uaonline.alaska.edu/,Juneau City and Borough,-134.639195,58.381976,
,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,Don Bantz,President,http://www.alaskapacific.edu,http://www.alaskapacific.edu/admissions/Pages/Default.aspx,http://www.alaskapacific.edu/admissions/financialaid/Pages/Default.aspx,https://apply.alaskapacific.edu/Pages/Default.aspx,Anchorage Municipality,-149.814307,61.189535,
,AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889,Fred Esposito,Director,http://www.avtec.edu/,http://www.avtec.edu/Admissions.htm,http://www.avtec.edu/Admissions.htm#FinancialAid,http://www.avtec.edu/ApplyNow.htm,Kenai Peninsula Borough,-149.443826,60.110502,
,Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,Terrance Harris,President,http://www.chartercollege.edu,,,,Anchorage Municipality,-149.83999,61.195436,
,Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686-0097,Douglas A. Desorcie,President,http://www.pwscc.edu,http://www.pwscc.edu/admissions.shtml,http://www.pwscc.edu/finaid.shtml,http://www.pwscc.edu/prospective_student.shtml,Valdez-Cordova Census Area,-146.357096,61.133085,
,Career Academy,1415 E Tudor Road,Anchorage,AK,99507-1033,Jennifer Deitz,President,http://www.careeracademy.edu,,,,Anchorage Municipality,-149.855683,61.180849,
,University of Alaska System of Higher Education,910 Yukon Drive,Fairbanks,AK,99775-5000,Patrick Gamble,President,http://www.alaska.edu/,http://www.alaska.edu/studentservices/,http://www.alaska.edu/studentservices/,http://www.alaska.edu/studentservices/,Fairbanks North Star Borough,-147.847787,64.858009,
,Everest College-Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,85021-1641,Todd McDonald,Campus President,http://www.everestcollegephoenix.edu,http://www.everestcollegephoenix.edu,http://www.everestcollegephoenix.edu,http://www.everestcollegephoenix.edu,Maricopa County,-112.113531,33.580955,
,Collins College,4750 S 44th Place,Phoenix,AZ,85040,Christine Murphy,President,http://www.collinscollege.edu,http://contact.collinscollege.edu/,,http://my.collinscollege.edu/enroll/,Maricopa County,-111.98646,33.40334,
,Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,85032,Michael Bouman,President/COO,http://www.empire.edu,,,,Maricopa County,-111.978446,33.602489,
,Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,Michael Bouman,President/COO,http://www.empire.edu,,,,Pima County,-110.927873,32.235959,
,Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,"Angel Cabrera, PhD",President,http://www.thunderbird.edu,,,,Maricopa County,-112.182574,33.622947,
,American Indian College of the Assemblies of God Inc,10020 N 15th Ave,Phoenix,AZ,85021,Dr. David DeGarmo,President,http://www.aicag.edu/,http://www.aicag.edu/admissions.html,http://www.aicag.edu/paying-for-college.html,http://www.formstack.com/forms/?789326-v1jrkwW2T6,Maricopa County,-112.091236,33.577578,
,American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043-4729,Charles R. Wirth,President,http://www.ait-schools.com,,,,Maricopa County,-112.175284,33.442432,
,Carrington College-Phoenix,8503 N 27th Ave,Phoenix,AZ,85051-4063,Spring Zutes,Executive Campus Director,http://www.carrington.edu,,,,Maricopa County,-112.116921,33.561821,
,Carrington College-Mesa,630 West Southern Avenue,Mesa,AZ,85210,Valentina Colmone,Executive Campus Director,,,,http://www.carrington.edu,Maricopa County,-111.845197,33.393316,
,Carrington College-Tucson,3550 N Oracle Rd.,Tucson,AZ,85705-5885,Luis Armendariz,Executive Campus Director,http://www.carrington.edu,,,,Pima County,-110.978011,32.270954,
,College America-Flagstaff,3012 East Route 66,Flagstaff,AZ,86004,Suzanne Scales,Executive Director,http://www.collegeamerica.edu,,,,Coconino County,-111.606672,35.209765,
,Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,Stewart White,Owner,http://www.arizonaacademy.com,http://www.arizonaacademy.com,http://www.arizonaacademy.com,http://www.arizonaacademy.com,Pima County,-110.871281,32.236258,
,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579,Dennis Del Valle,Executive Director,http://www.aai.edu,,,,Maricopa County,-112.15781,33.536413,
,Brookline College-Phoenix,2445 W. Dunlap Ave.,Phoenix,AZ,85021,Michael Adkins,Campus Director,http://www.brooklinecollege.edu,http://brooklinecollege.edu/admissions/,http://brooklinecollege.edu/financial-aid/,http://brooklinecollege.edu/admissions/application-process/,Maricopa County,-112.112382,33.56756,
,Arizona State University, ,Tempe,AZ,85287,Michael M. Crow,President,http://www.asu.edu/,http://students.asu.edu/admission,http://students.asu.edu/financialaid,http://students.asu.edu/scholarships/newamericanuniversity,Maricopa County,-111.932128,33.417515,
,Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365-8834,Glenn Mayle,Acting President,http://www.azwestern.edu,http://www.azwestern.edu/student_services/enrollment_services/admissions.html,http://www.azwestern.edu/student_services/financial_aid/,http://www.azwestern.edu/online_services.html,Yuma County,-114.49618,32.69022,
,University of Arizona,1401 E University,Tucson,AZ,85721-0066,Robert Shelton,President,http://www.arizona.edu,http://admissions.arizona.edu,http://financialaid.arizona.edu,http://admissions.arizona.edu/apply,Pima County,-110.950875,32.232112,
,The Art Center Design College-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,Sharmon R Woods,President,http://www.theartcenter.edu,,,,Pima County,-110.926828,32.252507,
,Brillare Hairdressing Academy,7201 E. Camelback #100,Scottsdale,AZ,85251,Cecelia Keeto,Financial Aid Director,http://www.attheacademy.com/,http://www.attheacademy.com/,http://www.attheacademy.com/AtTheAcademy/tuition.php,,Maricopa County,-111.925323,33.50225,
,Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,85128-9030,Dennis Jenkins,President,http://www.centralaz.edu,http://www.centralaz.edu/Home/Admissions/Admission_Procedures.htm,http://www.centralaz.edu/x1348.xml,https://banportal1.centralaz.edu/bannerp/bwskalog.P_DispLoginNon,Pinal County,-111.652297,32.95582,
,Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,85712,Holly Helscher,Campus President,http://www.brownmackie.edu,,,,Pima County,-110.895053,32.236286,
,Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,Charles Bartolomeo,Owner,http://www.charlesofitaly.edu,,,,Mohave County,-114.328115,34.475229,
,Cochise College,4190 W Highway 80,Douglas,AZ,85607-9724,"J.D. Rottweiler, Ph.D.",President,http://www.cochise.edu,http://www.cochise.edu/Admissions/ApplyRegister/tabid/350/Default.aspx,http://www.cochise.edu/Admissions/FinancialAid/tabid/375/Default.aspx,http://www.cochise.edu/Admissions/ApplyRegister/ApplyforAdmission/tabid/491/Default.aspx,Cochise County,-109.668765,31.361359,
,Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,Michael Bouman,President/COO,http://www.empire.edu,,,,Coconino County,-111.626367,35.195723,
,Empire Beauty School-Chandler,2978 N Alma School Rd  Stes 1-3,Chandler,AZ,85224,Michael Bouman,President/COO,http://www.empire.edu,,,,Maricopa County,-111.859237,33.349019,
,Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,85710,Joann MacMaster,President,http://www.cortiva.com/,http://www.cortiva.com/request-information/,http://www.cortiva.com/admissions/financial-aid.aspx,https://my.cortiva.com/Applicant/ApplyOnline_Login.aspx,Pima County,-110.856548,32.220975,
,DeVry University-Arizona,2149 W Dunlap Ave,Phoenix,AZ,85021-2995,Craig Jacob,Metro President,http://www.devry.edu,,,,Maricopa County,-112.104979,33.567573,
,Avalon School of Cosmetology,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,April Montes,Financial aid Director,http://www.theavalonschool.com,,,,Maricopa County,-111.859667,33.376506,
,Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,85552-0769,Mark Bryce,President,http://www.eac.edu,,,,Graham County,-109.763017,32.84242,
,Embry Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,Dr. John P. Johnson,President,http://www.erau.edu,,,,Yavapai County,-112.445315,34.615181,
,Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,85261,Victor E. Sidy,Dean,http://www.taliesin.edu,,,,Maricopa County,-111.846477,33.60715,
,Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,"Velvie Green, Ph.D.",President,http://www.gc.maricopa.edu,,,,Maricopa County,-112.188466,33.567524,
,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,Brian Mueller,Chief Executive Officer,http://www.gcu.edu,,,,Maricopa County,-112.129876,33.509446,
,Anthem College-Phoenix,1515 E Indian School Road,Phoenix,AZ,85014,James Hadley,Campus President,http://www.anthem.edu,,,,Maricopa County,-112.050333,33.4947,
,International Academy of Hair Design,3350 N Arizona Ave  Ste 4,Chandler,AZ,85225-7198,Gerald Johnson,Cheif Executive Officer,http://www.intlacademy.biz,,,,Maricopa County,-111.841802,33.354361,
,Lamson College,875 W. Elliot Road Suite 206,Tempe,AZ,85284,Jean Vokes,College Director,http://www.lamsoncollege.edu,,,,Maricopa County,-111.95313,33.349029,
,Kaplan College-Phoenix,"13610 N Black Canyon Hwy,  Ste 104",Phoenix,AZ,85029,Mitch Sudy,Executive Director,http://www.kc-phoenix.com,,,,Maricopa County,-112.117258,33.609028,
,Maricopa Beauty College LLC,515 W Western Ave,Avondale,AZ,85323,Glen E. Mehlhorn,Sole Member,http://www.maricopabeautycollege.com,,,,Maricopa County,-112.355232,33.435281,
,Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,85281-6942,Dr. Rufus Glasper,Chancellor,http://www.dist.maricopa.edu,,,,Maricopa County,-111.97543,33.413592,
,GateWay Community College,108 N. 40th Street,Phoenix,AZ,85034,"Eugene Giovannini, Ed. D.",President,http://www.gwc.maricopa.edu,,,,Maricopa County,-111.995403,33.449261,
,Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,Dr. Shouan Pan,President,http://www.mesacc.edu,,,,Maricopa County,-111.871413,33.392945,
,ITT Technical Institute-Tucson,1455 W. River Rd,Tucson,AZ,85704-5829,Annette Swanson,Director,http://www.itt-tech.edu,,,,Pima County,-110.997501,32.297261,
,ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,AZ,85282,Charles Wilson,Director,http://www.itt-tech.edu,,,,Maricopa County,-111.969736,33.380254,
,Mohave Community College,1971 Jagerson Ave,Kingman,AZ,86409-1238,Michael Kearns,President,http://www.mohave.edu,,,,Mohave County,-114.022914,35.268508,
,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,85027,Bryan Fishkind,Campus President,http://uti.edu/,http://www.uti.edu/request-info,http://www.uti.edu/Student-Services/Financial-Aid,http://www.uti.edu/,Maricopa County,-112.121476,33.683844,
,Dine College, ,Tsaile,AZ,86556,Ferlin Clark,President,http://www.dinecollege.edu,,,,Apache County,-109.21009,36.301684,
